,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
0,19,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,2.0,-3.0,-1.0,-1.0,1.0,-1.0,0.0
1,19,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,3.0,-3.0,-1.0,2.0,-2.0,1.0,-2.0,1.0,4.0,1.0,-2.0,0.0,4.0,-2.0,0.0,1.0
2,19,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,20,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,2.0,-3.0,-1.0,-1.0,1.0,-1.0,0.0
1,20,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,4.0,-3.0,-1.0,2.0,-2.0,0.0,-2.0,1.0,4.0,1.0,-2.0,0.0,5.0,-3.0,0.0,1.0
2,20,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,0.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,21,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,4.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,2.0,-3.0,-1.0,-1.0,1.0,-1.0,0.0
1,21,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,1.0,4.0,-3.0,-1.0,2.0,-2.0,0.0,-2.0,1.0,4.0,1.0,-2.0,0.0,5.0,-3.0,0.0,1.0
2,21,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,0.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,6.0,0.0,3.0,-3.0,0.0
0,22,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,4.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,2.0,-3.0,-1.0,-1.0,1.0,-1.0,0.0
1,22,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,5.0,-3.0,-1.0,2.0,-2.0,0.0,-2.0,1.0,4.0,1.0,-2.0,0.0,5.0,-3.0,0.0,1.0
