,Time,Type,Zone1,Zone2,Zone3,Zone4
0,22,Tuna,2.0,2.0,1.0,-5.0
1,22,Salmon,1.0,2.0,1.0,-4.0
2,22,Clown,15.0,-15.0,-3.0,3.0
0,23,Tuna,2.0,2.0,1.0,-5.0
1,23,Salmon,1.0,2.0,1.0,-4.0
2,23,Clown,18.0,-18.0,-3.0,3.0
0,24,Tuna,2.0,2.0,1.0,-5.0
1,24,Salmon,1.0,2.0,1.0,-4.0
2,24,Clown,18.0,-18.0,-3.0,3.0
0,25,Tuna,2.0,2.0,1.0,-5.0
1,25,Salmon,1.0,1.0,2.0,-4.0
2,25,Clown,18.0,-18.0,-3.0,3.0
0,26,Tuna,1.0,3.0,1.0,-5.0
1,26,Salmon,1.0,0.0,5.0,-6.0
2,26,Clown,18.0,-18.0,-3.0,3.0
0,27,Tuna,2.0,2.0,1.0,-5.0
1,27,Salmon,0.0,-1.0,5.0,-4.0
2,27,Clown,18.0,-18.0,-3.0,3.0
0,28,Tuna,2.0,2.0,1.0,-5.0
1,28,Salmon,0.0,-2.0,6.0,-4.0
2,28,Clown,18.0,-18.0,-3.0,3.0
0,29,Tuna,1.0,3.0,1.0,-5.0
1,29,Salmon,1.0,-3.0,4.0,-2.0
2,29,Clown,18.0,-18.0,-3.0,3.0
0,30,Tuna,1.0,3.0,-1.0,-3.0
1,30,Salmon,1.0,-3.0,5.0,-3.0
2,30,Clown,18.0,-18.0,-3.0,3.0
0,31,Tuna,0.0,4.0,-1.0,-3.0
1,31,Salmon,1.0,-3.0,4.0,-2.0
2,31,Clown,18.0,-18.0,-3.0,3.0
0,32,Tuna,0.0,4.0,-3.0,-1.0
1,32,Salmon,2.0,-4.0,4.0,-2.0
2,32,Clown,18.0,-18.0,-3.0,3.0
0,33,Tuna,-1.0,5.0,-4.0,0.0
1,33,Salmon,1.0,-4.0,2.0,1.0
2,33,Clown,21.0,-21.0,-3.0,3.0
0,34,Tuna,-1.0,5.0,-4.0,0.0
1,34,Salmon,2.0,-5.0,5.0,-2.0
2,34,Clown,21.0,-21.0,-3.0,3.0
0,35,Tuna,-1.0,5.0,-4.0,0.0
1,35,Salmon,2.0,-5.0,7.0,-4.0
2,35,Clown,21.0,-21.0,-3.0,3.0
0,36,Tuna,-1.0,6.0,-5.0,0.0
1,36,Salmon,3.0,-6.0,7.0,-4.0
2,36,Clown,21.0,-21.0,-3.0,3.0
0,37,Tuna,0.0,5.0,-4.0,-1.0
1,37,Salmon,3.0,-6.0,7.0,-4.0
2,37,Clown,24.0,-24.0,-3.0,3.0
0,38,Tuna,0.0,5.0,-4.0,-1.0
1,38,Salmon,1.0,-4.0,7.0,-4.0
2,38,Clown,24.0,-24.0,-3.0,3.0
0,39,Tuna,0.0,5.0,-4.0,-1.0
1,39,Salmon,2.0,-4.0,8.0,-6.0
2,39,Clown,24.0,-24.0,-3.0,3.0
0,40,Tuna,0.0,5.0,-4.0,-1.0
1,40,Salmon,2.0,-4.0,8.0,-6.0
2,40,Clown,24.0,-24.0,-3.0,3.0
0,41,Tuna,0.0,5.0,-4.0,-1.0
1,41,Salmon,1.0,-3.0,7.0,-5.0
2,41,Clown,24.0,-24.0,-3.0,3.0
0,42,Tuna,-1.0,5.0,-4.0,0.0
1,42,Salmon,1.0,-3.0,7.0,-5.0
2,42,Clown,24.0,-21.0,-6.0,3.0
0,43,Tuna,-1.0,5.0,-3.0,-1.0
1,43,Salmon,2.0,-4.0,9.0,-7.0
2,43,Clown,24.0,-21.0,-9.0,6.0
0,44,Tuna,0.0,4.0,-3.0,-1.0
1,44,Salmon,3.0,-4.0,9.0,-8.0
2,44,Clown,24.0,-21.0,-9.0,6.0
0,45,Tuna,0.0,4.0,-3.0,-1.0
1,45,Salmon,2.0,-4.0,9.0,-7.0
2,45,Clown,24.0,-21.0,-9.0,6.0
0,46,Tuna,0.0,4.0,-2.0,-2.0
1,46,Salmon,1.0,-3.0,9.0,-7.0
2,46,Clown,24.0,-21.0,-12.0,9.0
0,47,Tuna,0.0,4.0,-1.0,-3.0
1,47,Salmon,1.0,-3.0,10.0,-8.0
2,47,Clown,24.0,-21.0,-12.0,9.0
0,48,Tuna,-1.0,4.0,2.0,-5.0
1,48,Salmon,2.0,-4.0,10.0,-8.0
2,48,Clown,24.0,-21.0,-12.0,9.0
0,49,Tuna,-1.0,4.0,4.0,-7.0
1,49,Salmon,2.0,-5.0,9.0,-6.0
2,49,Clown,24.0,-21.0,-12.0,9.0
0,50,Tuna,-1.0,4.0,4.0,-7.0
1,50,Salmon,1.0,-6.0,10.0,-5.0
2,50,Clown,24.0,-21.0,-12.0,9.0
0,51,Tuna,-1.0,4.0,4.0,-7.0
1,51,Salmon,1.0,-6.0,9.0,-4.0
2,51,Clown,24.0,-18.0,-15.0,9.0
0,52,Tuna,-2.0,5.0,4.0,-7.0
1,52,Salmon,0.0,-6.0,9.0,-3.0
2,52,Clown,24.0,-15.0,-18.0,9.0
0,53,Tuna,-1.0,4.0,4.0,-7.0
1,53,Salmon,0.0,-6.0,10.0,-4.0
2,53,Clown,24.0,-15.0,-18.0,9.0
0,54,Tuna,-1.0,3.0,5.0,-7.0
1,54,Salmon,0.0,-6.0,10.0,-4.0
2,54,Clown,24.0,-12.0,-21.0,9.0
0,55,Tuna,-1.0,3.0,4.0,-6.0
1,55,Salmon,0.0,-6.0,10.0,-4.0
2,55,Clown,24.0,-12.0,-21.0,9.0
0,56,Tuna,-2.0,4.0,4.0,-6.0
1,56,Salmon,2.0,-6.0,9.0,-5.0
2,56,Clown,24.0,-12.0,-21.0,9.0
0,57,Tuna,-2.0,4.0,4.0,-6.0
1,57,Salmon,1.0,-6.0,11.0,-6.0
2,57,Clown,24.0,-12.0,-21.0,9.0
0,58,Tuna,-2.0,5.0,3.0,-6.0
1,58,Salmon,1.0,-6.0,11.0,-6.0
2,58,Clown,24.0,-12.0,-21.0,9.0
0,59,Tuna,-2.0,5.0,4.0,-7.0
1,59,Salmon,-1.0,-6.0,11.0,-4.0
2,59,Clown,24.0,-12.0,-21.0,9.0
0,60,Tuna,-2.0,6.0,3.0,-7.0
1,60,Salmon,0.0,-6.0,11.0,-5.0
2,60,Clown,27.0,-15.0,-21.0,9.0
0,61,Tuna,-3.0,7.0,3.0,-7.0
1,61,Salmon,0.0,-7.0,11.0,-4.0
2,61,Clown,27.0,-15.0,-21.0,9.0
0,62,Tuna,-3.0,8.0,2.0,-7.0
1,62,Salmon,0.0,-7.0,11.0,-4.0
2,62,Clown,24.0,-15.0,-21.0,12.0
0,63,Tuna,-3.0,8.0,2.0,-7.0
1,63,Salmon,-1.0,-7.0,11.0,-3.0
2,63,Clown,24.0,-15.0,-21.0,12.0
0,64,Tuna,-3.0,8.0,2.0,-7.0
1,64,Salmon,-1.0,-8.0,11.0,-2.0
2,64,Clown,24.0,-15.0,-21.0,12.0
0,65,Tuna,-3.0,8.0,1.0,-6.0
1,65,Salmon,-1.0,-8.0,11.0,-2.0
2,65,Clown,24.0,-15.0,-21.0,12.0
0,66,Tuna,-3.0,8.0,1.0,-6.0
1,66,Salmon,-2.0,-8.0,11.0,-1.0
2,66,Clown,27.0,-18.0,-21.0,12.0
0,67,Tuna,-3.0,8.0,0.0,-5.0
1,67,Salmon,-2.0,-8.0,11.0,-1.0
2,67,Clown,27.0,-18.0,-21.0,12.0
0,68,Tuna,-3.0,8.0,0.0,-5.0
1,68,Salmon,-1.0,-10.0,11.0,0.0
2,68,Clown,27.0,-18.0,-21.0,12.0
0,69,Tuna,-3.0,8.0,0.0,-5.0
1,69,Salmon,0.0,-10.0,10.0,0.0
2,69,Clown,27.0,-18.0,-21.0,12.0
0,70,Tuna,-3.0,7.0,1.0,-5.0
1,70,Salmon,-1.0,-9.0,10.0,0.0
2,70,Clown,27.0,-18.0,-21.0,12.0
0,71,Tuna,-4.0,8.0,2.0,-6.0
1,71,Salmon,-2.0,-9.0,10.0,1.0
2,71,Clown,27.0,-18.0,-21.0,12.0
0,72,Tuna,-3.0,7.0,2.0,-6.0
1,72,Salmon,-3.0,-8.0,10.0,1.0
2,72,Clown,30.0,-21.0,-18.0,9.0
0,73,Tuna,-3.0,7.0,2.0,-6.0
1,73,Salmon,-3.0,-8.0,10.0,1.0
2,73,Clown,30.0,-21.0,-18.0,9.0
0,74,Tuna,-3.0,7.0,3.0,-7.0
1,74,Salmon,-3.0,-8.0,9.0,2.0
2,74,Clown,30.0,-21.0,-18.0,9.0
0,75,Tuna,-3.0,7.0,2.0,-6.0
1,75,Salmon,-2.0,-8.0,11.0,-1.0
2,75,Clown,36.0,-24.0,-18.0,6.0
0,76,Tuna,-3.0,7.0,2.0,-6.0
1,76,Salmon,-2.0,-8.0,11.0,-1.0
2,76,Clown,36.0,-24.0,-18.0,6.0
0,77,Tuna,-3.0,7.0,2.0,-6.0
1,77,Salmon,-2.0,-7.0,11.0,-2.0
2,77,Clown,36.0,-24.0,-15.0,3.0
0,78,Tuna,-3.0,7.0,2.0,-6.0
1,78,Salmon,-2.0,-7.0,11.0,-2.0
2,78,Clown,36.0,-24.0,-15.0,3.0
0,79,Tuna,-4.0,7.0,2.0,-5.0
1,79,Salmon,-1.0,-8.0,10.0,-1.0
2,79,Clown,39.0,-27.0,-15.0,3.0
0,80,Tuna,-4.0,6.0,3.0,-5.0
1,80,Salmon,0.0,-8.0,10.0,-2.0
2,80,Clown,39.0,-27.0,-15.0,3.0
0,81,Tuna,-4.0,6.0,3.0,-5.0
1,81,Salmon,-1.0,-7.0,10.0,-2.0
2,81,Clown,39.0,-27.0,-15.0,3.0
0,82,Tuna,-4.0,6.0,3.0,-5.0
1,82,Salmon,-2.0,-7.0,10.0,-1.0
2,82,Clown,39.0,-27.0,-15.0,3.0
0,83,Tuna,-4.0,6.0,3.0,-5.0
1,83,Salmon,-2.0,-8.0,10.0,0.0
2,83,Clown,39.0,-27.0,-15.0,3.0
0,84,Tuna,-5.0,7.0,3.0,-5.0
1,84,Salmon,-3.0,-7.0,10.0,0.0
2,84,Clown,45.0,-33.0,-15.0,3.0
0,85,Tuna,-5.0,7.0,4.0,-6.0
1,85,Salmon,-3.0,-7.0,8.0,2.0
2,85,Clown,48.0,-36.0,-15.0,3.0
0,86,Tuna,-4.0,6.0,4.0,-6.0
1,86,Salmon,-4.0,-7.0,8.0,3.0
2,86,Clown,48.0,-36.0,-15.0,3.0
0,87,Tuna,-4.0,6.0,5.0,-7.0
1,87,Salmon,-4.0,-7.0,8.0,3.0
2,87,Clown,48.0,-36.0,-15.0,3.0
0,88,Tuna,-4.0,6.0,5.0,-7.0
1,88,Salmon,-3.0,-7.0,10.0,0.0
2,88,Clown,48.0,-36.0,-15.0,3.0
0,89,Tuna,-4.0,6.0,5.0,-7.0
1,89,Salmon,-3.0,-7.0,10.0,0.0
2,89,Clown,48.0,-36.0,-15.0,3.0
0,90,Tuna,-4.0,6.0,5.0,-7.0
1,90,Salmon,-1.0,-9.0,10.0,0.0
2,90,Clown,48.0,-36.0,-15.0,3.0
0,91,Tuna,-3.0,5.0,6.0,-8.0
1,91,Salmon,-2.0,-9.0,10.0,1.0
2,91,Clown,51.0,-39.0,-15.0,3.0
0,92,Tuna,-3.0,5.0,6.0,-8.0
1,92,Salmon,-2.0,-9.0,10.0,1.0
2,92,Clown,51.0,-39.0,-15.0,3.0
0,93,Tuna,-2.0,5.0,4.0,-7.0
1,93,Salmon,-3.0,-9.0,10.0,2.0
2,93,Clown,51.0,-39.0,-15.0,3.0
0,94,Tuna,-2.0,5.0,4.0,-7.0
1,94,Salmon,-3.0,-9.0,10.0,2.0
2,94,Clown,51.0,-39.0,-15.0,3.0
0,95,Tuna,-4.0,6.0,3.0,-5.0
1,95,Salmon,-3.0,-10.0,11.0,2.0
2,95,Clown,51.0,-39.0,-15.0,3.0
0,96,Tuna,-4.0,7.0,2.0,-5.0
1,96,Salmon,-4.0,-10.0,11.0,3.0
2,96,Clown,51.0,-39.0,-12.0,0.0
0,97,Tuna,-4.0,7.0,2.0,-5.0
1,97,Salmon,-4.0,-11.0,11.0,4.0
2,97,Clown,51.0,-39.0,-12.0,0.0
0,98,Tuna,-4.0,7.0,2.0,-5.0
1,98,Salmon,-4.0,-11.0,11.0,4.0
2,98,Clown,51.0,-39.0,-12.0,0.0
0,99,Tuna,-4.0,7.0,2.0,-5.0
1,99,Salmon,-3.0,-12.0,10.0,5.0
2,99,Clown,51.0,-39.0,-12.0,0.0
0,100,Tuna,-5.0,8.0,2.0,-5.0
1,100,Salmon,-3.0,-12.0,10.0,5.0
2,100,Clown,51.0,-39.0,-12.0,0.0
0,101,Tuna,-5.0,7.0,3.0,-5.0
1,101,Salmon,-2.0,-13.0,10.0,5.0
2,101,Clown,51.0,-39.0,-12.0,0.0
0,102,Tuna,-5.0,8.0,2.0,-5.0
1,102,Salmon,-2.0,-13.0,8.0,7.0
2,102,Clown,54.0,-42.0,-12.0,0.0
0,103,Tuna,-5.0,7.0,2.0,-4.0
1,103,Salmon,-2.0,-13.0,7.0,8.0
2,103,Clown,54.0,-42.0,-12.0,0.0
0,104,Tuna,-5.0,7.0,1.0,-3.0
1,104,Salmon,0.0,-15.0,7.0,8.0
2,104,Clown,54.0,-42.0,-12.0,0.0
0,105,Tuna,-5.0,7.0,1.0,-3.0
1,105,Salmon,1.0,-15.0,7.0,7.0
2,105,Clown,54.0,-42.0,-12.0,0.0
0,106,Tuna,-5.0,7.0,1.0,-3.0
1,106,Salmon,1.0,-15.0,7.0,7.0
2,106,Clown,54.0,-42.0,-12.0,0.0
0,107,Tuna,-5.0,7.0,1.0,-3.0
1,107,Salmon,1.0,-15.0,6.0,8.0
2,107,Clown,51.0,-39.0,-9.0,-3.0
0,108,Tuna,-5.0,7.0,0.0,-2.0
1,108,Salmon,5.0,-16.0,5.0,6.0
2,108,Clown,51.0,-39.0,-9.0,-3.0
0,109,Tuna,-5.0,7.0,0.0,-2.0
1,109,Salmon,4.0,-16.0,4.0,8.0
2,109,Clown,51.0,-39.0,-6.0,-6.0
0,110,Tuna,-5.0,7.0,1.0,-3.0
1,110,Salmon,5.0,-17.0,2.0,10.0
2,110,Clown,51.0,-39.0,-3.0,-9.0
0,111,Tuna,-5.0,7.0,1.0,-3.0
1,111,Salmon,6.0,-17.0,1.0,10.0
2,111,Clown,51.0,-39.0,-3.0,-9.0
0,112,Tuna,-5.0,7.0,2.0,-4.0
1,112,Salmon,6.0,-16.0,0.0,10.0
2,112,Clown,51.0,-39.0,-3.0,-9.0
0,113,Tuna,-5.0,7.0,2.0,-4.0
1,113,Salmon,6.0,-16.0,-1.0,11.0
2,113,Clown,51.0,-39.0,0.0,-12.0
0,114,Tuna,-6.0,7.0,3.0,-4.0
1,114,Salmon,6.0,-17.0,-2.0,13.0
2,114,Clown,51.0,-39.0,0.0,-12.0
0,115,Tuna,-7.0,7.0,3.0,-3.0
1,115,Salmon,7.0,-17.0,-2.0,12.0
2,115,Clown,51.0,-39.0,0.0,-12.0
0,116,Tuna,-7.0,7.0,3.0,-3.0
1,116,Salmon,8.0,-18.0,-3.0,13.0
2,116,Clown,51.0,-39.0,0.0,-12.0
0,117,Tuna,-7.0,7.0,3.0,-3.0
1,117,Salmon,8.0,-18.0,-3.0,13.0
2,117,Clown,51.0,-39.0,3.0,-15.0
0,118,Tuna,-7.0,7.0,3.0,-3.0
1,118,Salmon,9.0,-18.0,-4.0,13.0
2,118,Clown,51.0,-39.0,3.0,-15.0
0,119,Tuna,-7.0,7.0,3.0,-3.0
1,119,Salmon,10.0,-18.0,-5.0,13.0
2,119,Clown,51.0,-39.0,0.0,-12.0
0,120,Tuna,-7.0,7.0,4.0,-4.0
1,120,Salmon,12.0,-18.0,-6.0,12.0
2,120,Clown,51.0,-39.0,0.0,-12.0
0,121,Tuna,-6.0,6.0,4.0,-4.0
1,121,Salmon,12.0,-18.0,-7.0,13.0
2,121,Clown,51.0,-39.0,3.0,-15.0
0,122,Tuna,-6.0,5.0,5.0,-4.0
1,122,Salmon,12.0,-18.0,-7.0,13.0
2,122,Clown,51.0,-39.0,3.0,-15.0
0,123,Tuna,-6.0,5.0,5.0,-4.0
1,123,Salmon,12.0,-18.0,-7.0,13.0
2,123,Clown,51.0,-39.0,3.0,-15.0
0,124,Tuna,-6.0,5.0,5.0,-4.0
1,124,Salmon,12.0,-18.0,-7.0,13.0
2,124,Clown,51.0,-36.0,0.0,-15.0
0,125,Tuna,-7.0,6.0,5.0,-4.0
1,125,Salmon,13.0,-18.0,-6.0,11.0
2,125,Clown,51.0,-36.0,0.0,-15.0
0,126,Tuna,-8.0,7.0,5.0,-4.0
1,126,Salmon,12.0,-18.0,-8.0,14.0
2,126,Clown,51.0,-36.0,0.0,-15.0
0,127,Tuna,-8.0,7.0,5.0,-4.0
1,127,Salmon,13.0,-18.0,-9.0,14.0
2,127,Clown,51.0,-36.0,3.0,-18.0
0,128,Tuna,-8.0,7.0,5.0,-4.0
1,128,Salmon,13.0,-18.0,-10.0,15.0
2,128,Clown,51.0,-36.0,3.0,-18.0
0,129,Tuna,-8.0,7.0,6.0,-5.0
1,129,Salmon,14.0,-18.0,-10.0,14.0
2,129,Clown,51.0,-36.0,3.0,-18.0
0,130,Tuna,-8.0,7.0,6.0,-5.0
1,130,Salmon,13.0,-18.0,-10.0,15.0
2,130,Clown,54.0,-39.0,3.0,-18.0
0,131,Tuna,-9.0,7.0,6.0,-4.0
1,131,Salmon,14.0,-18.0,-10.0,14.0
2,131,Clown,54.0,-39.0,3.0,-18.0
0,132,Tuna,-9.0,7.0,5.0,-3.0
1,132,Salmon,14.0,-18.0,-10.0,14.0
2,132,Clown,57.0,-42.0,0.0,-15.0
0,133,Tuna,-8.0,6.0,5.0,-3.0
1,133,Salmon,14.0,-18.0,-11.0,15.0
2,133,Clown,57.0,-42.0,0.0,-15.0
0,134,Tuna,-8.0,6.0,5.0,-3.0
1,134,Salmon,12.0,-18.0,-12.0,18.0
2,134,Clown,57.0,-42.0,3.0,-18.0
0,135,Tuna,-8.0,6.0,5.0,-3.0
1,135,Salmon,12.0,-17.0,-12.0,17.0
2,135,Clown,57.0,-42.0,3.0,-18.0
0,136,Tuna,-9.0,7.0,5.0,-3.0
1,136,Salmon,12.0,-17.0,-12.0,17.0
2,136,Clown,57.0,-39.0,0.0,-18.0
0,137,Tuna,-8.0,6.0,5.0,-3.0
1,137,Salmon,11.0,-17.0,-12.0,18.0
2,137,Clown,57.0,-39.0,0.0,-18.0
0,138,Tuna,-8.0,6.0,5.0,-3.0
1,138,Salmon,9.0,-16.0,-12.0,19.0
2,138,Clown,57.0,-39.0,0.0,-18.0
0,139,Tuna,-7.0,5.0,5.0,-3.0
1,139,Salmon,7.0,-15.0,-11.0,19.0
2,139,Clown,57.0,-39.0,0.0,-18.0
0,140,Tuna,-7.0,5.0,5.0,-3.0
1,140,Salmon,6.0,-16.0,-12.0,22.0
2,140,Clown,57.0,-39.0,0.0,-18.0
0,141,Tuna,-7.0,5.0,5.0,-3.0
1,141,Salmon,5.0,-16.0,-12.0,23.0
2,141,Clown,57.0,-39.0,0.0,-18.0
0,142,Tuna,-7.0,5.0,5.0,-3.0
1,142,Salmon,4.0,-16.0,-12.0,24.0
2,142,Clown,57.0,-39.0,0.0,-18.0
0,143,Tuna,-8.0,5.0,5.0,-2.0
1,143,Salmon,2.0,-15.0,-12.0,25.0
2,143,Clown,60.0,-42.0,3.0,-21.0
0,144,Tuna,-9.0,5.0,5.0,-1.0
1,144,Salmon,2.0,-15.0,-12.0,25.0
2,144,Clown,60.0,-42.0,3.0,-21.0
0,145,Tuna,-9.0,6.0,4.0,-1.0
1,145,Salmon,2.0,-15.0,-12.0,25.0
2,145,Clown,63.0,-42.0,6.0,-27.0
0,146,Tuna,-9.0,6.0,4.0,-1.0
1,146,Salmon,1.0,-15.0,-13.0,27.0
2,146,Clown,63.0,-42.0,6.0,-27.0
0,147,Tuna,-10.0,7.0,4.0,-1.0
1,147,Salmon,0.0,-15.0,-13.0,28.0
2,147,Clown,60.0,-39.0,9.0,-30.0
0,148,Tuna,-9.0,7.0,4.0,-2.0
1,148,Salmon,-4.0,-13.0,-13.0,30.0
2,148,Clown,60.0,-39.0,9.0,-30.0
0,149,Tuna,-9.0,7.0,4.0,-2.0
1,149,Salmon,-5.0,-13.0,-12.0,30.0
2,149,Clown,60.0,-39.0,9.0,-30.0
0,150,Tuna,-10.0,7.0,4.0,-1.0
1,150,Salmon,-5.0,-12.0,-13.0,30.0
2,150,Clown,60.0,-39.0,9.0,-30.0
0,151,Tuna,-9.0,6.0,4.0,-1.0
1,151,Salmon,-6.0,-11.0,-14.0,31.0
2,151,Clown,57.0,-36.0,9.0,-30.0
0,152,Tuna,-9.0,6.0,4.0,-1.0
1,152,Salmon,-8.0,-11.0,-14.0,33.0
2,152,Clown,57.0,-36.0,9.0,-30.0
0,153,Tuna,-9.0,6.0,4.0,-1.0
1,153,Salmon,-7.0,-12.0,-12.0,31.0
2,153,Clown,57.0,-36.0,9.0,-30.0
0,154,Tuna,-9.0,6.0,4.0,-1.0
1,154,Salmon,-10.0,-11.0,-11.0,32.0
2,154,Clown,57.0,-36.0,9.0,-30.0
0,155,Tuna,-9.0,6.0,4.0,-1.0
1,155,Salmon,-11.0,-10.0,-11.0,32.0
2,155,Clown,54.0,-33.0,9.0,-30.0
0,156,Tuna,-9.0,6.0,4.0,-1.0
1,156,Salmon,-12.0,-9.0,-10.0,31.0
2,156,Clown,54.0,-33.0,9.0,-30.0
0,157,Tuna,-9.0,6.0,3.0,0.0
1,157,Salmon,-11.0,-9.0,-10.0,30.0
2,157,Clown,54.0,-33.0,9.0,-30.0
0,158,Tuna,-9.0,6.0,3.0,0.0
1,158,Salmon,-12.0,-9.0,-10.0,31.0
2,158,Clown,51.0,-27.0,6.0,-30.0
0,159,Tuna,-9.0,7.0,2.0,0.0
1,159,Salmon,-13.0,-7.0,-9.0,29.0
2,159,Clown,48.0,-24.0,6.0,-30.0
0,160,Tuna,-9.0,7.0,2.0,0.0
1,160,Salmon,-13.0,-7.0,-9.0,29.0
2,160,Clown,48.0,-24.0,6.0,-30.0
0,161,Tuna,-9.0,7.0,2.0,0.0
1,161,Salmon,-13.0,-7.0,-9.0,29.0
2,161,Clown,45.0,-21.0,6.0,-30.0
0,162,Tuna,-9.0,7.0,2.0,0.0
1,162,Salmon,-12.0,-7.0,-8.0,27.0
2,162,Clown,45.0,-21.0,6.0,-30.0
0,163,Tuna,-10.0,7.0,2.0,1.0
1,163,Salmon,-10.0,-8.0,-8.0,26.0
2,163,Clown,45.0,-21.0,6.0,-30.0
0,164,Tuna,-10.0,7.0,2.0,1.0
1,164,Salmon,-10.0,-8.0,-9.0,27.0
2,164,Clown,45.0,-21.0,6.0,-30.0
0,165,Tuna,-11.0,8.0,2.0,1.0
1,165,Salmon,-10.0,-8.0,-9.0,27.0
2,165,Clown,45.0,-21.0,6.0,-30.0
0,166,Tuna,-11.0,8.0,2.0,1.0
1,166,Salmon,-10.0,-8.0,-9.0,27.0
2,166,Clown,45.0,-21.0,9.0,-33.0
0,167,Tuna,-11.0,8.0,2.0,1.0
1,167,Salmon,-11.0,-8.0,-9.0,28.0
2,167,Clown,45.0,-21.0,9.0,-33.0
0,168,Tuna,-9.0,8.0,2.0,-1.0
1,168,Salmon,-11.0,-8.0,-9.0,28.0
2,168,Clown,45.0,-21.0,9.0,-33.0
0,169,Tuna,-9.0,8.0,2.0,-1.0
1,169,Salmon,-12.0,-7.0,-8.0,27.0
2,169,Clown,42.0,-18.0,9.0,-33.0
0,170,Tuna,-9.0,8.0,2.0,-1.0
1,170,Salmon,-10.0,-7.0,-7.0,24.0
2,170,Clown,39.0,-15.0,9.0,-33.0
0,171,Tuna,-9.0,8.0,2.0,-1.0
1,171,Salmon,-10.0,-6.0,-7.0,23.0
2,171,Clown,39.0,-15.0,9.0,-33.0
0,172,Tuna,-9.0,9.0,1.0,-1.0
1,172,Salmon,-8.0,-6.0,-6.0,20.0
2,172,Clown,39.0,-15.0,9.0,-33.0
0,173,Tuna,-9.0,9.0,1.0,-1.0
1,173,Salmon,-8.0,-6.0,-5.0,19.0
2,173,Clown,36.0,-12.0,9.0,-33.0
0,174,Tuna,-9.0,8.0,2.0,-1.0
1,174,Salmon,-7.0,-6.0,-5.0,18.0
2,174,Clown,36.0,-12.0,9.0,-33.0
0,175,Tuna,-9.0,8.0,2.0,-1.0
1,175,Salmon,-7.0,-6.0,-6.0,19.0
