,Time,Type,Zone1,Zone2,Zone3,Zone4
180,61,Tuna,0.0,0.0,0.0,0.0
181,61,Salmon,0.0,0.0,0.0,0.0
182,61,Clown,0.0,0.0,0.0,0.0
183,62,Tuna,0.0,0.0,0.0,0.0
184,62,Salmon,0.0,0.0,0.0,0.0
185,62,Clown,0.0,0.0,0.0,0.0
186,63,Tuna,0.0,0.0,1.0,-1.0
187,63,Salmon,0.0,0.0,0.0,0.0
188,63,Clown,0.0,0.0,0.0,0.0
189,64,Tuna,0.0,0.0,0.0,0.0
190,64,Salmon,0.0,-1.0,1.0,0.0
191,64,Clown,0.0,0.0,0.0,0.0
192,65,Tuna,0.0,0.0,0.0,0.0
193,65,Salmon,0.0,0.0,0.0,0.0
194,65,Clown,0.0,0.0,0.0,0.0
195,66,Tuna,0.0,0.0,0.0,0.0
196,66,Salmon,-1.0,0.0,0.0,1.0
197,66,Clown,0.0,0.0,0.0,0.0
198,67,Tuna,0.0,0.0,0.0,0.0
199,67,Salmon,0.0,0.0,0.0,0.0
200,67,Clown,0.0,0.0,0.0,0.0
201,68,Tuna,0.0,1.0,-1.0,0.0
202,68,Salmon,0.0,0.0,0.0,0.0
203,68,Clown,0.0,0.0,0.0,0.0
204,69,Tuna,0.0,0.0,0.0,0.0
205,69,Salmon,0.0,0.0,0.0,0.0
206,69,Clown,0.0,0.0,0.0,0.0
207,70,Tuna,0.0,0.0,0.0,0.0
208,70,Salmon,0.0,0.0,-1.0,1.0
209,70,Clown,0.0,0.0,0.0,0.0
210,71,Tuna,0.0,0.0,0.0,0.0
211,71,Salmon,0.0,0.0,0.0,0.0
212,71,Clown,0.0,0.0,0.0,0.0
213,72,Tuna,0.0,1.0,-1.0,0.0
214,72,Salmon,0.0,0.0,0.0,0.0
215,72,Clown,0.0,0.0,0.0,0.0
216,73,Tuna,0.0,0.0,0.0,0.0
217,73,Salmon,-2.0,1.0,-1.0,2.0
218,73,Clown,0.0,0.0,0.0,0.0
219,74,Tuna,0.0,0.0,0.0,0.0
220,74,Salmon,0.0,0.0,0.0,0.0
221,74,Clown,0.0,0.0,0.0,0.0
222,75,Tuna,0.0,0.0,0.0,0.0
223,75,Salmon,0.0,0.0,-1.0,1.0
224,75,Clown,0.0,0.0,0.0,0.0
225,76,Tuna,0.0,0.0,0.0,0.0
226,76,Salmon,0.0,0.0,0.0,0.0
227,76,Clown,0.0,-3.0,3.0,0.0
